uid	format-tags-com.android.version	tag
10019477	0	bad
10019512	-1	bad
10019535	-1	good
10019546	-1	bad
10019548	1	good
10019568	1	good
10019572	0	good
10019584	-1	good
10019605	1	good
10019645	-1	bad
10019662	0	good
10019671	-1	good
10019693	0	bad
10019714	-1	bad
10019720	-1	good
10019727	3	good
10019729	1	bad
10019730	-1	bad
10019736	-1	bad
10019773	-1	good
10019783	-1	good
10019796	-1	good
10019798	0	good
10019819	-1	good
10019854	-1	good
10019857	0	good
10019872	-1	good
10019877	-1	good
10019885	1	bad
10019898	-1	bad
10019909	-1	good
10019922	-1	bad
10019926	-1	good
10019931	-1	good
10019949	-1	good
10019951	2	good
10019965	-1	good
10019998	-1	good
10020004	-1	bad
10020009	-1	good
10020027	-1	good
10020032	1	good
10020045	-1	good
10020065	1	good
10020079	0	bad
10020083	1	good
10020092	-1	good
10020093	1	good
10020096	-1	good
10020107	-1	good
10020133	-1	bad
10020138	-1	good
10020168	-1	bad
10020183	-1	bad
10020190	-1	good
10020198	-1	good
10020274	-1	bad
10020292	-1	bad
10020294	-1	good
10020301	-1	bad
10020335	-1	good
10020336	-1	bad
10020343	-1	good
10020351	1	good
10020354	-1	good
10020368	-1	good
10020371	-1	good
10020376	-1	good
10020378	-1	good
10020391	-1	good
10020406	-1	bad
10020413	-1	bad
10020440	0	good
10020444	-1	good
10020503	1	bad
10020519	-1	good
10020548	0	bad
10020591	-1	good
10020596	1	bad
10020602	-1	good
10020610	1	bad
10020629	-1	good
10020647	-1	good
10020653	-1	good
10020655	-1	bad
10020687	-1	good
10020692	1	bad
10020697	-1	bad
10020701	-1	good
10020773	-1	good
10020779	-1	good
10020784	-1	bad
10020790	1	good
10020797	-1	good
10020809	-1	bad
10020818	0	good
10020849	-1	good
10020864	-1	bad
10020934	-1	good
10020938	-1	good
10020942	-1	good
10020951	3	good
10020954	-1	good
10020965	-1	bad
10020967	-1	good
10020989	-1	good
10021005	-1	good
10021013	-1	good
10021024	-1	bad
10021030	-1	bad
10021052	-1	good
10021053	-1	good
10021063	-1	good
10021067	-1	good
10021097	-1	good
10021098	2	good
10021106	-1	good
10021126	1	bad
10021144	-1	good
10021154	-1	bad
10021156	1	good
10021161	-1	bad
10021196	-1	good
10021210	-1	good
10021213	2	good
10021257	2	good
10021286	-1	bad
10021289	-1	good
10021316	-1	good
10021353	1	bad
10021393	-1	bad
10021395	-1	bad
10021398	1	bad
10021419	-1	bad
10021421	1	good
10021422	1	bad
10021424	-1	bad
10021436	1	bad
10021445	1	good
10021462	-1	bad
10021464	1	bad
10021465	-1	good
10021469	-1	bad
10021484	-1	bad
10021496	-1	bad
10021502	-1	bad
10021553	1	bad
10021557	-1	bad
10021558	-1	good
10021608	-1	bad
10021624	-1	good
10021625	-1	good
10021643	-1	bad
10021665	1	bad
10021673	-1	bad
10021690	2	good
10021712	-1	good
10021746	1	good
10021747	0	good
10021767	-1	good
10021768	-1	good
10021785	-1	good
10021789	-1	good
10021840	1	good
10021861	0	bad
10021893	-1	good
10021919	-1	good
10021940	2	good
10021954	-1	good
10021962	-1	bad
10021995	2	bad
10022005	-1	good
10022012	1	bad
10022014	-1	good
10022018	-1	good
10022031	-1	bad
10022041	1	good
10022144	-1	bad
10022166	1	bad
10022168	-1	good
10022196	-1	good
10022216	0	good
10022227	0	bad
10022244	-1	bad
10022255	1	good
10022273	-1	good
10022295	0	good
10022323	-1	good
10022338	-1	bad
10022339	-1	good
10022345	-1	good
10022353	-1	bad
10022372	-1	bad
10022382	2	good
10022384	1	good
10022392	-1	bad
10022420	0	good
10022429	-1	good
10022445	-1	good
10022448	-1	good
10022473	0	good
10022491	0	good
10022494	-1	good
10022498	-1	good
10022517	1	good
10022522	-1	good
10022539	-1	good
10022550	-1	good
10022558	1	good
10022559	-1	good
10022572	-1	bad
10022614	-1	good
10022642	-1	bad
10022651	-1	bad
10022677	-1	good
10022686	-1	bad
10022722	-1	bad
10022725	-1	good
10022736	-1	good
10022746	-1	bad
10022747	-1	bad
10022768	-1	good
10022780	0	good
10022788	-1	good
10022794	-1	bad
10022801	1	good
10022802	1	good
10022819	-1	good
10022833	-1	good
10022834	-1	good
10022850	-1	good
10022857	-1	good
10022909	-1	good
10022911	1	bad
10022915	1	good
10022931	-1	good
10022934	-1	good
10022978	0	good
10022979	0	good
10022999	3	good
10023065	-1	good
10023067	-1	good
10023069	1	bad
10023090	-1	good
10023093	-1	bad
10023103	-1	good
10023135	-1	bad
10023170	0	good
10023177	-1	good
10023187	-1	good
10023210	-1	good
10023221	1	good
10023230	0	good
10023255	-1	bad
10023264	-1	bad
10023269	1	bad
10023277	-1	bad
10023302	-1	bad
10023316	-1	good
10023330	2	good
10023332	0	bad
10023343	1	bad
10023344	-1	good
10023388	-1	good
10023394	2	good
10023407	-1	good
10023433	-1	good
10023449	-1	bad
10023450	-1	good
10023455	1	good
10023464	1	good
10023480	1	good
10023501	1	bad
10023503	-1	good
10023535	1	good
10023540	-1	good
10023541	1	good
10023577	-1	bad
10023585	-1	bad
10023586	-1	good
10023612	-1	good
10023617	-1	good
10023627	-1	bad
10023633	2	good
10023641	-1	good
10023686	-1	good
10023690	-1	bad
10023715	-1	good
10023731	-1	good
10023801	1	good
10023809	-1	good
10023819	0	good
10023836	-1	good
10023848	-1	good
10023858	1	bad
10023863	1	good
10023878	-1	bad
10023879	-1	good
10023894	0	good
10023901	-1	good
10023906	-1	good
10023907	-1	bad
10023918	-1	bad
10023928	-1	good
10023944	0	good
10023948	1	good
10023980	-1	bad
10023987	-1	good
10023994	-1	good
10024010	-1	good
10024019	-1	good
10024023	-1	good
10024030	-1	bad
10024045	-1	good
10024063	1	good
10024074	1	good
10024090	-1	bad
10024137	-1	good
10024176	-1	bad
10024177	-1	good
10024180	-1	good
10024184	-1	good
10024216	0	good
10024239	-1	bad
10024240	0	bad
10024247	-1	good
10024254	-1	good
10024266	-1	good
10024275	-1	bad
10024277	-1	good
10024278	1	bad
10024280	-1	bad
10024286	-1	bad
10024288	-1	good
10024305	-1	bad
10024307	1	bad
10024309	-1	good
10024357	-1	good
10024358	-1	bad
10024362	-1	bad
10024431	0	bad
10024432	-1	good
10024434	-1	bad
10024448	1	bad
10024487	-1	good
10024514	-1	good
10024520	-1	good
10024544	0	bad
10024545	-1	bad
10024553	-1	good
10024567	1	bad
10024577	1	good
10024594	-1	good
10024627	-1	good
10024630	-1	good
10024631	-1	good
10024727	-1	bad
10024728	1	good
10024756	-1	good
10024764	-1	bad
10024773	-1	bad
10024774	-1	good
10024776	-1	good
10024787	1	good
10024792	-1	good
10024793	-1	good
10024800	-1	bad
10024805	2	good
10024808	-1	bad
10024812	0	good
10024817	-1	good
10024835	-1	good
10024838	1	bad
10024839	-1	good
10024845	0	bad
10024870	2	good
10024877	-1	good
10024878	-1	bad
10024885	-1	good
10024891	0	good
10024893	0	good
10024894	-1	bad
10024896	1	bad
10024901	-1	good
10024904	0	good
10024913	-1	bad
10024917	-1	bad
10024947	-1	bad
10024953	-1	good
10024966	-1	good
10024974	-1	good
10025008	-1	good
10025049	1	good
10025073	-1	bad
10025077	-1	good
10025106	-1	good
10025110	1	bad
10025126	1	good
10025131	-1	bad
10025156	-1	good
10025159	-1	bad
10025161	-1	good
10025164	-1	bad
10025167	-1	good
10025169	-1	bad
10025184	-1	good
10025197	-1	bad
10025216	0	good
10025219	-1	bad
10025233	0	bad
10025236	-1	bad
10025272	-1	good
10025307	-1	good
10025326	-1	good
10025346	-1	bad
10025368	0	good
10025371	-1	good
10025392	-1	good
10025428	-1	good
10025438	-1	bad
10025439	-1	good
10025458	-1	bad
10025479	-1	good
10025512	1	good
10025527	1	good
10025534	1	bad
10025538	-1	bad
10025560	-1	good
10025565	-1	bad
10025574	2	good
10025591	0	good
10025595	-1	bad
10025614	-1	bad
10025693	2	good
10025698	1	bad
10025717	1	bad
10025727	-1	good
10025736	-1	bad
10025773	-1	bad
10025794	-1	bad
10025840	-1	bad
10025842	1	bad
10025888	-1	bad
10025890	-1	bad
10025925	-1	good
10025954	0	bad
10025962	1	good
10025974	0	bad
10025992	1	good
10026006	-1	good
10026008	-1	bad
10026016	-1	good
10026019	-1	bad
10026032	-1	good
10026041	1	good
10026043	1	bad
10026045	1	bad
