uid	streams-0-r_frame_rate	format-duration	format-tags-creation_time	streams-1-nb_frames	format-start_time	streams-1-duration	streams-0-nb_frames	streams-0-tags-creation_time	streams-0-duration	streams-1-tags-creation_time	streams-1-duration_ts	streams-0-codec_time_base	streams-1-bit_rate	format-size	format-bit_rate	streams-1-start_pts	streams-0-avg_frame_rate	streams-0-duration_ts	streams-1-start_time	streams-0-bit_rate	tag
10022550	25	13116667	556	567	-9342	13086689	328	556	13116667	556	577123	50	84263	1176859	717779	-412	25	7870	-9342	629544	good
10022558	30	12874000	646	601	0	12821333	387	646	12894178	646	615424	60	256080	1618315	1005633	0	30	1160476	0	744438	good
10022559	30	13355011	357	577	-5692	13327642	401	357	13355000	357	587749	60	81916	1226308	734590	-251	30	8013	-5692	648658	good
10022572	30	13988345	609	606	-17302	13914671	420	609	13988333	609	613637	60	88845	1275755	729610	-763	30	8393	-17302	636532	bad
10022614	30	17061000	601	789	0	16863646	512	601	17061189	601	809455	60	127922	1891715	887035	0	30	1535507	0	756691	good
10022642	25	14400000	647	675	0	14434000	356	647	14348878	647	692832	50	127772	1355056	752808	0	25	1291399	0	623502	bad
10022651	30	17751678	600	768	-22812	17670794	533	600	17751667	600	779282	60	88781	1568724	706963	-1006	30	10651	-22812	614262	bad
10022677	30	17918345	641	776	-20612	17858753	538	641	17918333	641	787571	60	63297	1565390	698899	-909	30	10751	-20612	631762	good
10022686	25	13796667	1754	598	-21020	13771610	345	1754	13796667	1754	607328	50	88410	1216917	705629	-927	25	8278	-21020	613047	bad
10022722	30	16667000	249	778	0	16695291	504	249	16666456	249	801374	60	95545	1780901	854815	0	30	1499981	0	753939	bad
10022725	30	17316667	601	748	-14943	17260680	520	601	17316667	601	761196	60	85861	1522810	703511	-659	30	10390	-14943	613865	good
10022736	30	17985011	603	777	-16417	17955805	540	603	17985000	603	791851	60	86087	1602165	712666	-724	30	10791	-16417	622813	good
10022746	28	14357000	621	673	0	14357333	203	621	14394656	621	689152	28	96292	1511949	842487	0	14	1295519	0	738228	bad
10022747	24	17056000	427	796	0	16981333	409	427	17076467	427	815104	48	96000	1814722	851182	0	24	1536882	0	749629	bad
10022768	30	13823000	602	645	0	13824500	418	602	13822356	602	663576	60	95578	1473519	852792	0	30	1244012	0	750978	good
10022780	30	13653000	607	640	0	13675729	409	607	13621256	607	656435	60	128033	1513193	886658	0	30	1225913	0	756653	good
10022788	25	14636667	335	633	-6032	14622540	366	335	14636667	335	644854	50	81405	1258221	687709	-266	25	8782	-6032	602401	good
10022794	90000	16986000	206	796	0	16981333	190	206	17033744	206	815104	22	96181	1816231	855401	0	11	1533037	0	752037	bad
10022801	30	17063000	656	792	0	16977375	510	656	17062400	656	814914	60	95539	1808477	847905	0	30	1535616	0	747741	good
10022802	90000	13099000	606	614	0	13098667	182	606	13105500	606	628736	28	128017	1443220	881423	0	14	1179495	0	746107	good
10022819	25	13396667	852	578	-11474	13339977	335	852	13396667	852	588293	50	81199	1185345	707844	-506	25	8038	-11474	622876	good
10022833	30	17030000	613	798	0	17027021	515	613	17030133	613	817297	60	128130	1881297	883756	0	30	1532712	0	750368	good
10022834	25	15958345	603	690	-12721	15939388	399	603	15958333	603	702927	50	85388	1420402	712054	-561	25	9575	-12721	622869	good
10022850	15	16822000	734	780	0	16640125	253	734	16865278	734	798726	30	96275	991406	471480	0	15	1517875	0	370148	good
